t,ax,ay,az,gx,gy,gz,roll,pitch,yaw
0.125,0.18675,-0.21548,9.85932,0.00000,0.00000,0.00000,-1.214,-1.099,1.038
0.225,0.19154,-0.21548,9.84975,0.00000,0.06104,0.00000,-1.214,-1.099,1.038
0.325,0.18675,-0.21548,9.85932,0.00000,0.00000,0.00000,-1.214,-1.093,1.038
0.425,0.18675,-0.21069,9.85932,0.00000,0.00000,0.00000,-1.214,-1.093,1.038
0.524,0.19154,-0.21548,9.85453,0.00000,0.00000,0.00000,-1.219,-1.093,1.038
0.625,0.19154,-0.22984,9.88326,0.00000,0.00000,0.00000,-1.219,-1.093,1.038
0.725,0.18675,-0.21548,9.83538,-0.06104,0.06104,0.00000,-1.219,-1.093,1.038
0.824,0.19154,-0.21069,9.86411,-0.06104,0.06104,0.00000,-1.214,-1.082,1.038
0.924,0.18675,-0.20590,9.85932,0.00000,0.00000,0.00000,-1.219,-1.077,1.038
1.024,0.19154,-0.20590,9.77792,0.00000,0.00000,0.00000,-1.219,-1.077,1.038
1.124,-6.57448,-1.04866,9.55286,-0.18311,-0.18311,0.00000,-1.219,-1.082,1.038
1.223,-2.93529,-0.37350,10.32380,6.34766,0.61035,52.61230,-1.148,-1.005,1.829
1.324,1.78607,-0.35913,10.38605,-2.56348,-9.64355,22.76611,-1.296,-1.165,4.362
1.423,2.11647,1.35512,11.74116,18.98193,-174.19434,65.42969,-0.807,-8.729,7.872
1.523,2.89698,1.82917,7.57525,169.06738,-19.77539,-25.69580,8.251,-15.727,10.074
1.623,-1.36948,5.30555,5.72214,197.69287,95.21484,-83.92334,27.559,-7.696,5.806
1.723,-4.57771,6.19141,0.09577,203.79639,295.22705,-139.89258,46.060,15.612,8.613
1.823,-6.41167,5.35343,-3.93128,267.15088,222.53418,-140.44189,76.893,38.243,22.989
1.922,-7.30232,4.15155,-6.35421,151.12305,173.33984,-103.08838,112.626,47.455,43.852
2.022,-8.66701,4.44364,-2.92093,123.53516,-30.45654,19.04297,137.137,46.302,55.443
2.122,-7.57525,5.59764,0.00000,106.68945,-377.74658,199.95117,121.910,50.367,21.379
2.222,-4.78840,6.89530,4.77883,30.15137,-288.69629,130.43213,80.821,44.440,-42.737
2.321,0.20590,6.05254,7.05811,-143.49365,-292.72461,166.87012,57.936,18.539,-72.603
2.422,9.39485,0.72784,5.75566,-91.06445,-279.84619,182.00684,43.132,-14.958,-84.963
2.522,10.03170,-1.81480,3.67749,75.68359,-157.22656,289.42871,40.468,-43.808,-78.305
2.621,9.23204,-3.73974,1.76692,29.17480,-6.71387,197.99805,20.006,-63.248,-53.564
2.721,4.96079,-1.66158,-3.21302,-3.41797,3.35693,139.83154,-8.877,-63.853,-19.237
2.821,8.96868,4.33351,-0.80924,-59.38721,-348.63281,-481.81152,46.818,-82.381,-83.123
2.921,9.26077,3.28963,0.27773,18.18848,-28.62549,-22.64404,82.974,-68.643,-116.093
3.021,9.97903,2.40378,2.18351,31.00586,36.68213,25.45166,78.536,-68.461,-105.886
3.121,9.88805,2.82516,1.28808,15.01465,15.19775,19.71436,72.004,-69.626,-94.373
3.220,7.96311,3.54821,2.47560,58.34961,71.16699,-3.54004,72.845,-68.566,-87.896
3.320,7.10120,2.22182,5.33428,57.12891,145.75195,13.06152,55.668,-62.946,-60.672
3.420,5.37259,0.15323,7.27358,22.39990,191.16211,112.97607,30.734,-56.437,-28.136
3.519,4.77883,0.22027,10.10353,40.83252,200.56152,103.08838,11.777,-45.714,-0.192
3.620,5.37738,0.17717,11.95664,65.85693,181.09131,89.35547,6.163,-29.740,17.062
3.719,5.16669,1.90100,12.07635,32.83691,66.46729,85.08301,9.998,-15.919,28.405
3.819,-0.28730,4.95600,7.04374,306.09131,108.33740,-34.11865,21.896,-10.898,30.806
3.919,-1.41258,5.03261,1.95846,153.86963,-84.04541,-147.82715,42.951,-7.987,16.364
4.019,-6.80432,6.12437,4.98473,52.24609,-103.08838,-213.13477,53.569,-0.648,-6.229
4.118,-7.36935,5.01825,5.10444,16.29639,-6.34766,-264.83154,52.877,13.508,-25.400
4.218,-6.94318,4.63996,5.46836,35.88867,-71.59424,-161.19385,48.192,26.631,-45.505
4.318,-6.25365,5.18584,7.86256,98.44971,-125.48828,-95.82520,45.264,29.366,-66.654
4.418,-4.35266,6.07648,7.27837,62.07275,-163.02490,2.74658,43.154,21.248,-84.100
4.518,0.20111,4.15633,5.23372,123.16895,-257.87354,121.58203,47.313,2.159,-98.196
4.618,6.37815,0.74699,-1.73819,61.88965,-256.04248,314.27002,58.140,-28.872,-105.848
4.718,10.20888,-6.33506,1.72861,110.96191,6.71387,265.13672,73.526,-62.930,-120.443
4.817,8.52815,-5.19542,7.77158,103.02734,120.78857,255.49316,10.464,-78.047,-45.450
4.917,0.09098,-1.14443,9.95030,165.40527,326.78223,119.56787,-21.962,-57.497,-1.121
5.017,-0.56982,-0.13886,12.41154,241.88232,345.88623,195.37354,-7.949,-25.911,10.706
5.117,0.14844,1.04387,13.65174,168.21289,137.51221,127.19727,4.197,-6.317,28.548
5.216,0.91937,2.33195,8.71011,210.08301,-9.09424,74.89014,20.281,-1.758,35.980
5.317,-1.69509,4.54898,0.58419,325.19531,-60.66895,-76.53809,44.665,-5.790,33.393
5.416,-4.56335,6.52659,-5.83706,229.55322,-157.53174,-127.31934,71.807,-1.582,19.243
5.516,-7.75242,8.46590,-2.33674,156.86035,-145.62988,-146.66748,91.379,11.799,6.482
5.616,-7.76679,7.26880,-0.64643,115.05127,-112.42676,-108.33740,98.641,25.598,-8.558
5.716,-8.26478,6.62236,-1.68073,87.89062,-162.29248,-20.44678,101.294,34.233,-23.637
5.815,-8.08761,7.24485,1.44131,10.37598,-217.04102,-10.74219,94.669,38.666,-44.835
5.915,-3.21781,6.84742,5.49709,-54.93164,-278.38135,109.68018,73.993,30.723,-76.009
6.015,2.73418,4.38139,4.52025,-31.49414,-226.37939,178.10059,59.777,5.043,-96.696
6.115,7.15866,1.81480,5.05177,-30.39551,-132.56836,217.04102,54.695,-22.643,-103.744
6.214,5.46836,-1.08218,6.34463,-5.49316,31.61621,216.67480,45.247,-42.264,-94.230
6.314,4.72137,-3.19387,11.88003,10.31494,101.92871,203.30811,22.072,-46.143,-64.720
6.414,-1.99198,-1.76692,10.63026,35.27832,264.64844,100.21973,3.532,-33.964,-39.337
6.514,-5.75087,2.43251,9.55286,82.03125,492.12646,176.20850,6.954,5.691,-21.572
6.614,-7.05811,4.64475,2.17872,155.33447,204.52881,123.29102,28.488,34.838,4.455
6.713,-6.42125,6.48350,0.08140,187.92725,149.65820,64.94141,65.775,41.028,26.851
6.814,-4.82671,5.54497,-3.44765,148.07129,53.52783,78.91846,87.446,37.332,38.353
6.913,-4.84586,4.83150,-5.14275,163.69629,21.97266,18.55469,104.716,32.311,40.051
7.013,-5.81312,3.36146,-7.64708,154.60205,4.08936,62.37793,121.558,28.993,40.529
7.113,-5.77003,2.95923,-8.44674,135.68115,-85.32715,70.67871,132.171,28.191,29.938
7.212,-7.10599,3.21781,-7.08684,84.53369,-117.67578,59.20410,137.928,31.190,15.683
7.313,-8.33661,4.17070,-4.95121,37.23145,-148.13232,63.23242,137.153,36.546,-0.187
7.412,-8.69095,5.12359,-3.21302,6.83594,-131.34766,60.91309,130.375,41.182,-17.347
7.512,-7.01022,6.25844,-1.12049,-35.21729,-123.71826,76.41602,114.357,43.215,-40.886
7.612,-3.96480,6.88094,3.50032,-101.92871,-133.54492,115.23438,92.856,36.705,-64.484
7.712,-0.31125,6.48350,4.90811,-138.79395,-156.67725,148.62061,71.691,20.978,-80.475
7.811,2.45645,5.54976,5.86579,-94.17725,-140.13672,141.78467,57.744,0.939,-89.066
7.911,3.89297,4.03184,5.98550,-72.81494,-114.37988,142.51709,49.697,-18.622,-93.274
8.011,3.84509,2.50433,8.11156,-41.19873,-2.01416,132.93457,42.072,-32.459,-89.890
8.111,4.97994,-0.37828,10.62068,6.83594,84.41162,130.43213,29.894,-34.964,-73.109
8.211,-1.40300,0.57461,13.13938,-12.63428,153.80859,121.70410,17.825,-24.653,-50.455
8.311,-6.29196,2.78206,9.95030,35.82764,380.61523,79.28467,14.123,1.456,-31.190
8.411,-7.93917,4.59208,6.07170,129.82178,356.07910,83.37402,23.566,26.263,-12.332
8.511,-6.15789,5.61201,1.35512,117.91992,97.53418,83.19092,48.477,40.540,11.486
8.610,-6.03818,6.87615,-1.03908,131.04248,7.38525,61.58447,69.719,38.177,24.890
8.710,-5.95677,6.41167,-3.59130,169.43359,54.50439,53.34473,88.445,34.470,32.877
8.810,-6.48829,6.02860,-4.96557,143.79883,-9.52148,42.35840,104.447,30.438,33.882
8.910,-6.31112,5.84185,-4.86981,121.33789,-81.23779,55.11475,114.318,28.416,27.098
9.009,-7.48906,6.04296,-4.49631,85.93750,-106.75049,49.13330,119.081,28.636,14.793
9.110,-7.86256,6.28239,-3.21781,44.92188,-165.89355,48.46191,118.290,31.954,-1.653
9.209,-8.02536,6.54575,-2.34153,26.30615,-187.74414,52.91748,111.302,35.744,-22.945
9.309,-6.57927,7.98227,1.60412,-23.49854,-232.91016,91.61377,98.157,35.651,-47.988
9.409,-2.47560,6.45956,3.25133,-86.42578,-221.61865,179.01611,79.931,23.379,-74.323
9.509,1.74777,4.34787,3.94086,-109.00879,-177.12402,249.38965,68.417,0.582,-86.743
9.609,8.70053,-0.08140,5.17626,-91.67480,-95.15381,241.57715,58.239,-25.016,-86.083
9.708,5.74608,-0.76614,10.18972,-68.54248,39.91699,197.99805,40.161,-41.501,-67.626
9.808,0.78530,-0.14844,13.22557,-24.41406,243.10303,67.99316,18.781,-31.926,-39.688
9.908,-2.70545,0.76136,14.43225,-34.54590,214.84375,52.67334,10.981,-6.202,-24.192
